,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
0,12487,CYIENT-BL,CYIENT,,-1.000000,1,,NSE,5.000000
1,51471,BANKNIFTY01SEP2233200CE,BANKNIFTY,01SEP2022,3320000.000000,25,OPTIDX,NFO,5.000000
2,46223,BANKNIFTY08SEP2236600PE,BANKNIFTY,08SEP2022,3660000.000000,25,OPTIDX,NFO,5.000000
3,51580,BANKNIFTY15SEP2236300CE,BANKNIFTY,15SEP2022,3630000.000000,25,OPTIDX,NFO,5.000000
4,57085,BANKNIFTY27OCT2236000CE,BANKNIFTY,27OCT2022,3600000.000000,25,OPTIDX,NFO,5.000000
5,56041,BANKNIFTY25AUG2240000PE,BANKNIFTY,25AUG2022,4000000.000000,25,OPTIDX,NFO,5.000000
6,51863,BANKNIFTY15SEP2240400CE,BANKNIFTY,15SEP2022,4040000.000000,25,OPTIDX,NFO,5.000000
7,57131,BANKNIFTY30MAR2340500CE,BANKNIFTY,30MAR2023,4050000.000000,25,OPTIDX,NFO,5.000000
8,51965,BANKNIFTY15SEP2242500CE,BANKNIFTY,15SEP2022,4250000.000000,25,OPTIDX,NFO,5.000000
9,58944,BANKNIFTY22SEP2239800CE,BANKNIFTY,22SEP2022,3980000.000000,25,OPTIDX,NFO,5.000000
10,51810,BANKNIFTY15SEP2239400PE,BANKNIFTY,15SEP2022,3940000.000000,25,OPTIDX,NFO,5.000000
11,57089,BANKNIFTY27OCT2236200CE,BANKNIFTY,27OCT2022,3620000.000000,25,OPTIDX,NFO,5.000000
12,37706,BANKNIFTY29SEP2239900CE,BANKNIFTY,29SEP2022,3990000.000000,25,OPTIDX,NFO,5.000000
13,42589,BANKNIFTY29SEP2238400CE,BANKNIFTY,29SEP2022,3840000.000000,25,OPTIDX,NFO,5.000000
14,56186,BANKNIFTY29SEP2233200CE,BANKNIFTY,29SEP2022,3320000.000000,25,OPTIDX,NFO,5.000000
15,72217,BANKNIFTY29SEP2234500PE,BANKNIFTY,29SEP2022,3450000.000000,25,OPTIDX,NFO,5.000000
16,51675,BANKNIFTY15SEP2237400CE,BANKNIFTY,15SEP2022,3740000.000000,25,OPTIDX,NFO,5.000000
17,56269,BANKNIFTY29SEP2238000PE,BANKNIFTY,29SEP2022,3800000.000000,25,OPTIDX,NFO,5.000000
18,46540,BANKNIFTY08SEP2241100CE,BANKNIFTY,08SEP2022,4110000.000000,25,OPTIDX,NFO,5.000000
19,82658,BANKNIFTY25AUG2237000PE,BANKNIFTY,25AUG2022,3700000.000000,25,OPTIDX,NFO,5.000000
20,46548,BANKNIFTY08SEP2241300PE,BANKNIFTY,08SEP2022,4130000.000000,25,OPTIDX,NFO,5.000000
21,38713,BANKNIFTY27OCT2241600CE,BANKNIFTY,27OCT2022,4160000.000000,25,OPTIDX,NFO,5.000000
22,52051,BANKNIFTY15SEP2244500PE,BANKNIFTY,15SEP2022,4450000.000000,25,OPTIDX,NFO,5.000000
23,36160,BANKNIFTY01SEP2240400CE,BANKNIFTY,01SEP2022,4040000.000000,25,OPTIDX,NFO,5.000000
24,56195,BANKNIFTY29SEP2233600PE,BANKNIFTY,29SEP2022,3360000.000000,25,OPTIDX,NFO,5.000000
25,51966,BANKNIFTY15SEP2242500PE,BANKNIFTY,15SEP2022,4250000.000000,25,OPTIDX,NFO,5.000000
26,51791,BANKNIFTY15SEP2239200CE,BANKNIFTY,15SEP2022,3920000.000000,25,OPTIDX,NFO,5.000000
27,56273,BANKNIFTY29SEP2239500PE,BANKNIFTY,29SEP2022,3950000.000000,25,OPTIDX,NFO,5.000000
28,72220,BANKNIFTY29SEP2237500CE,BANKNIFTY,29SEP2022,3750000.000000,25,OPTIDX,NFO,5.000000
29,51428,BANKNIFTY15SEP2233000PE,BANKNIFTY,15SEP2022,3300000.000000,25,OPTIDX,NFO,5.000000
30,72214,BANKNIFTY29SEP2233000CE,BANKNIFTY,29SEP2022,3300000.000000,25,OPTIDX,NFO,5.000000
31,57229,BANKNIFTY27OCT2244500CE,BANKNIFTY,27OCT2022,4450000.000000,25,OPTIDX,NFO,5.000000
32,44830,BANKNIFTY29DEC2246500CE,BANKNIFTY,29DEC2022,4650000.000000,25,OPTIDX,NFO,5.000000
33,56240,BANKNIFTY29SEP2236100CE,BANKNIFTY,29SEP2022,3610000.000000,25,OPTIDX,NFO,5.000000
34,57185,BANKNIFTY27OCT2239900CE,BANKNIFTY,27OCT2022,3990000.000000,25,OPTIDX,NFO,5.000000
35,57119,BANKNIFTY30MAR2331500CE,BANKNIFTY,30MAR2023,3150000.000000,25,OPTIDX,NFO,5.000000
36,46004,BANKNIFTY08SEP2233900CE,BANKNIFTY,08SEP2022,3390000.000000,25,OPTIDX,NFO,5.000000
37,82596,BANKNIFTY25AUG2235200PE,BANKNIFTY,25AUG2022,3520000.000000,25,OPTIDX,NFO,5.000000
38,51752,BANKNIFTY01SEP2241000CE,BANKNIFTY,01SEP2022,4100000.000000,25,OPTIDX,NFO,5.000000
39,51544,BANKNIFTY01SEP2235600CE,BANKNIFTY,01SEP2022,3560000.000000,25,OPTIDX,NFO,5.000000
40,57037,BANKNIFTY27OCT2233600CE,BANKNIFTY,27OCT2022,3360000.000000,25,OPTIDX,NFO,5.000000
41,82557,BANKNIFTY25AUG2233500CE,BANKNIFTY,25AUG2022,3350000.000000,25,OPTIDX,NFO,5.000000
42,51511,BANKNIFTY01SEP2234700PE,BANKNIFTY,01SEP2022,3470000.000000,25,OPTIDX,NFO,5.000000
43,44831,BANKNIFTY29DEC2246500PE,BANKNIFTY,29DEC2022,4650000.000000,25,OPTIDX,NFO,5.000000
44,56185,BANKNIFTY29SEP2233100PE,BANKNIFTY,29SEP2022,3310000.000000,25,OPTIDX,NFO,5.000000
45,42580,BANKNIFTY25AUG2242600PE,BANKNIFTY,25AUG2022,4260000.000000,25,OPTIDX,NFO,5.000000
46,58901,BANKNIFTY22SEP2237600PE,BANKNIFTY,22SEP2022,3760000.000000,25,OPTIDX,NFO,5.000000
47,51908,BANKNIFTY15SEP2241100PE,BANKNIFTY,15SEP2022,4110000.000000,25,OPTIDX,NFO,5.000000
48,82647,BANKNIFTY25AUG2236500CE,BANKNIFTY,25AUG2022,3650000.000000,25,OPTIDX,NFO,5.000000
49,47993,BANKNIFTY25AUG2228800PE,BANKNIFTY,25AUG2022,2880000.000000,25,OPTIDX,NFO,5.000000
50,37674,BANKNIFTY29SEP2237600PE,BANKNIFTY,29SEP2022,3760000.000000,25,OPTIDX,NFO,5.000000
51,45948,BANKNIFTY08SEP2229500PE,BANKNIFTY,08SEP2022,2950000.000000,25,OPTIDX,NFO,5.000000
52,82562,BANKNIFTY25AUG2233700PE,BANKNIFTY,25AUG2022,3370000.000000,25,OPTIDX,NFO,5.000000
53,56160,BANKNIFTY29SEP2231800CE,BANKNIFTY,29SEP2022,3180000.000000,25,OPTIDX,NFO,5.000000
54,51489,BANKNIFTY15SEP2234500PE,BANKNIFTY,15SEP2022,3450000.000000,25,OPTIDX,NFO,5.000000
55,56260,BANKNIFTY29SEP2237100CE,BANKNIFTY,29SEP2022,3710000.000000,25,OPTIDX,NFO,5.000000
56,57090,BANKNIFTY27OCT2236200PE,BANKNIFTY,27OCT2022,3620000.000000,25,OPTIDX,NFO,5.000000
57,82609,BANKNIFTY25AUG2235500CE,BANKNIFTY,25AUG2022,3550000.000000,25,OPTIDX,NFO,5.000000
58,51552,BANKNIFTY01SEP2235800PE,BANKNIFTY,01SEP2022,3580000.000000,25,OPTIDX,NFO,5.000000
59,53091,BANKNIFTY30MAR2325500PE,BANKNIFTY,30MAR2023,2550000.000000,25,OPTIDX,NFO,5.000000
60,56278,BANKNIFTY29SEP2241500CE,BANKNIFTY,29SEP2022,4150000.000000,25,OPTIDX,NFO,5.000000
